Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
4801,115,54648,53783,668,-964,56632,99,10181,6909,50820,16378
4802,7890,64796,61973,3306,1145,67824,6267,17402,9225,115944,45908
4803,754,56940,53506,4142,2313,58889,675,11214,7979,68955,19753
4804,1099,69495,72770,-25,-36,72780,835,20674,12591,147454,62672
4805,7013,63361,64648,1412,638,66292,5382,17203,9087,133411,45383
4806,2231,60093,59979,3577,1365,63879,1701,15204,10739,156547,73575
4807,6617,63104,60672,1189,482,66688,5121,16913,10579,156703,64452
4808,701,56071,59673,3748,579,59772,519,14579,10775,178500,89484
4809,592,59754,60851,4734,2660,63991,465,15163,10525,136947,66190
4810,14141,84035,75614,1111,167,87610,11459,26114,13799,220024,78320
4811,7801,70535,70807,-78,-280,73455,6359,18707,12904,154070,71083
4812,11438,64321,63856,-102,126,66980,9099,16365,11103,155608,64804
4814,26917,65697,65969,442,94,68239,21104,17398,11925,165779,65062
4815,11958,59185,60674,636,-332,61452,9307,13975,10444,120446,51823
4816,5156,63302,64753,1182,601,66788,3765,17789,11622,157588,77114
4817,19040,65492,66224,-476,-280,68046,15387,16230,12082,155237,75340
4818,20302,68505,69721,-518,-456,71201,17025,16795,12973,128527,68831
4819,1555,51856,53849,4544,2215,54546,1030,14229,7490,183568,66565
4820,5604,63619,65698,1486,718,68691,4297,16874,11694,139466,62791
4821,874,58025,60513,1130,1032,67328,656,15562,10425,130434,58464
4822,536,70460,59383,646,911,77855,408,22197,10636,119212,56058
4823,523,79502,56777,-3218,1587,93671,395,26837,9684,152029,67169
4824,1595,81678,75160,1705,346,85659,1317,23727,15642,138683,64272
4825,11361,81957,83208,136,-261,84606,9571,22722,16891,127911,51731
4828,105,63704,55503,262,932,66738,86,15868,6210,77705,21186
4829,283,69266,60438,1161,547,73168,224,17524,11609,148163,46827
4830,596,49067,44918,-251,545,50213,359,13099,7100,53381,9796
4849,777,49358,50755,3471,1060,52204,511,13070,7409,142283,54439
4850,6247,55615,58006,2332,915,59358,4476,14412,9551,184985,89124
4852,2574,54575,55912,2239,1499,57243,1743,15425,8505,173312,60319
4854,3400,52128,52148,2940,1494,54732,2471,12809,7539,125522,40403
4855,481,46486,51610,1068,0,49462,328,11468,7437,125075,45512
4856,390,50455,58242,7563,2962,53660,263,13261,8251,161957,69871
4858,900,56952,60683,6093,1235,59837,687,14082,9649,171825,76553
4859,329,47958,47612,2556,1321,50001,220,11589,8236,121613,62386
4860,6339,52197,53141,3959,1743,54404,4517,13186,7411,149719,40747
4861,852,54483,58552,3318,1557,56714,605,14290,9392,134402,67408
4865,5296,61608,62572,2915,1028,64426,4154,15305,10763,147238,70579
4868,13245,59224,59541,2941,1514,61749,10307,14253,9664,140308,58113
4869,12255,59296,59789,1827,836,61573,9800,13607,9947,112177,51497
4870,45910,63944,62583,3107,1475,66804,35644,16935,10057,150404,53467
4871,5957,51961,52258,2518,1576,55845,4054,14232,7574,126221,37991
4872,2543,49448,52580,5344,2237,53423,1692,13949,8091,158318,51404
4873,4236,51358,52917,3556,2197,53997,3005,12348,7631,142060,58841
4874,3183,86215,85052,1329,898,88764,2741,23324,19272,128877,64693
