Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
6239,2994,61425,65762,2627,1082,64412,2124,18076,11856,151896,69312
6240,103,63570,62812,4602,5169,65845,67,23185,9135,189024,66317
6244,1060,69626,55082,3619,2336,73990,761,21700,10945,157266,62322
6251,237,66689,65151,2441,1859,69327,179,19322,11719,129949,80484
6252,82,64304,64607,7551,4749,66624,57,20660,13308,114178,61822
6253,413,58025,62451,3405,3293,62729,251,20814,10889,195213,79926
6254,283,66138,73472,3130,715,68451,207,20000,15058,118975,61761
6255,2669,63085,67179,3426,2102,65646,1857,19477,11834,171342,82439
6256,179,63511,63884,6857,5100,68513,132,17046,9559,152123,72337
6258,4122,55347,55223,3773,2202,58103,2994,14384,9041,133910,55081
6260,925,63299,54493,3579,1489,66887,688,19045,8595,138898,51131
6262,480,49891,50624,3158,1486,53362,304,14245,7248,127677,60472
6271,2202,63908,66045,1196,856,66949,1662,17860,11627,124999,59067
6275,932,55335,59056,3117,2247,58704,615,16761,9066,163669,76940
6280,19383,63978,62606,3151,1232,67183,14347,18439,10621,159955,68243
6281,6062,77201,66838,6219,3266,81064,4635,25042,11846,217174,78782
6282,1112,90333,68209,8265,4438,96099,809,34757,12865,302350,98296
6284,1990,68082,66341,3798,1610,70953,1485,20778,11101,154643,72947
6285,7599,63177,60003,5991,2929,67979,5676,17942,9509,133775,51497
6286,731,65548,59664,5775,2576,70124,527,21835,9189,140525,59282
6288,444,55356,57469,7253,4229,59147,307,16253,7677,162395,59614
6290,1101,53093,55629,4719,2458,55947,703,16199,8366,202103,83678
6302,2189,63598,64350,3094,1616,68340,1539,19620,12192,141973,64725
6304,979,67860,60789,2099,1705,71798,693,21939,12630,173019,68884
6306,641,66006,51460,3204,1926,70937,447,20544,12510,154244,55715
6308,945,63625,56345,3457,1736,67576,668,19135,12130,151101,53431
6309,196,64361,58124,2056,2020,72572,134,21292,12275,119450,63644
6311,340,54787,57027,4563,2058,58420,240,15073,9935,116201,58876
6312,2729,60640,57221,3988,2055,64138,2074,15599,10052,133533,47265
6313,119,67216,55378,9469,1365,71893,96,16773,11383,143112,57023
6315,1242,59842,53507,3367,1219,65340,901,16237,10623,140068,48076
6316,212,73894,50696,13076,7064,79958,157,23194,13377,307098,61299
6317,2421,59272,55145,3146,1744,62391,1851,14761,9165,96157,33384
6318,307,63794,44931,6827,3744,69379,220,19165,9297,195637,46045
6320,370,56593,49261,3711,2122,63042,273,14250,10901,150886,41561
6321,315,50016,49100,2423,508,53980,218,13485,8578,95260,33098
6322,145,58983,44596,7057,1609,65171,102,17760,9999,171908,64653
6323,638,53699,56072,2098,1106,56633,439,14340,8806,113526,49077
6324,2269,54138,55940,3123,1414,57529,1591,14938,9256,129050,58113
6326,366,53517,59205,4202,1563,58189,250,14980,9503,135520,52005
6327,152,61581,59126,2146,903,65181,102,22030,7763,102217,47316
6328,279,70491,50506,4734,2220,82691,189,23641,12111,149242,52751
6330,23262,60134,57855,4043,1955,63093,16954,16729,10057,150985,61608
6333,3890,55783,55871,5094,2699,58783,2577,16759,8781,181590,72875
6335,477,72812,54161,8270,2413,78657,358,21846,14459,160839,37265
6336,211,53784,47953,2005,731,64130,138,16543,10229,91277,39991
6337,386,77274,54110,2035,311,91955,297,25100,11945,89090,35036
6338,531,63350,53105,3348,1902,68914,385,20786,12427,197737,52442
6341,172,61613,53279,6186,2463,71086,125,17465,13460,143097,43637
6343,140,71594,48458,12740,2780,84373,96,23976,14390,143778,39001
6346,511,72349,52150,5268,2032,79941,397,19633,12548,151801,44326
6348,618,74706,80274,383,256,78033,460,23443,18113,116940,60780
6350,260,70196,49693,3554,1028,81547,194,19039,12020,130532,53759
6352,131,55988,36994,4443,2816,65287,85,16583,11096,133578,49312
6353,571,66823,58142,5118,2310,76106,443,17489,12686,132613,60811
6355,372,78621,46272,4248,1033,91179,282,27586,16579,194291,54120
6356,75,76186,39009,3201,7111,88383,58,22150,16161,127505,30079
6357,54,59177,45171,2055,-809,70851,37,17737,14188,186073,91682
6358,60,56845,50105,5152,3728,76538,42,15689,11731,76006,45245
6359,315,72122,42054,2957,2661,76391,220,23710,12335,222882,40697
6361,82,67328,38956,1095,1335,78572,60,19118,14940,179851,50091
6363,57,65042,34163,5234,4424,72647,46,14784,10108,122834,67314
6365,352,70493,49073,4119,1658,83225,266,20443,13600,193436,85142
6367,203,68403,47140,4127,1732,74643,154,18714,11565,140788,56259
6369,460,67501,52943,6778,3145,74643,338,20440,13216,180369,53276
6370,314,59682,51051,3861,1794,64406,224,17542,10893,243016,62476
6372,72,62390,46909,1690,1259,67972,53,16849,9652,141340,40541
6373,52,70890,42611,-880,1114,78142,35,23079,14017,109943,39377
6375,634,68740,56547,5145,1326,73484,468,20306,13747,158334,55973
6383,555,73008,54552,3423,2402,81513,398,23434,14707,143380,54778
6386,64,84804,47115,7290,4813,89433,44,30430,17963,147113,36462
6390,976,78598,82199,-259,577,81251,747,24273,19982,156612,77248
6391,661,83307,58447,4957,2180,90218,546,23424,15176,151531,70286
6392,350,75878,51249,5735,4890,84003,288,20269,13371,171540,53673
6393,73,47376,32181,8747,8747,52876,46,13564,8884,95099,34901
6394,174,61449,42456,8711,5309,66499,124,16881,8937,111784,38160
6395,1317,68509,52423,3334,2358,73849,1003,18856,11970,179929,48790
6396,237,62289,54284,2084,614,67686,178,16537,10948,117828,50321
6398,337,54104,51407,2834,2023,56887,203,17595,8897,192586,79729
6401,4270,62042,61769,1882,529,64905,3199,16833,11542,127978,49040
6403,132,51850,53871,1904,2171,54629,95,13356,6727,115957,50295
6405,193,55544,53119,185,146,59422,136,15516,11510,127673,56940
6407,568,67816,61149,1356,312,71936,435,19953,12782,155923,48334
6409,266,58150,46590,1312,202,63583,200,14881,10474,123835,33720
6410,572,59207,53920,2248,1233,61724,411,16215,10344,101654,43600
6411,90,60525,50629,3367,2616,73479,59,19861,10701,193287,62431
6415,1706,65885,63406,4820,2021,69015,1305,18282,12020,118660,47890
6418,433,66555,53892,4868,2231,74072,305,20503,13126,167010,63668
6420,61,82728,55350,7868,1868,95222,51,23775,13025,75281,28020
6421,106,83363,47561,18755,7656,90565,85,23609,13205,144637,70449
6423,90,50373,54859,5799,3662,52780,65,20466,10959,133973,59717
6425,92,76668,46118,5999,1652,83882,74,22660,15274,124806,47968
6426,419,72484,72631,7641,1884,78333,321,20947,15404,115727,57290
6429,424,66820,68523,-770,253,68471,326,18558,13497,85903,38368
6430,14333,89920,88507,1519,350,92769,12220,26414,19728,116401,51766
6431,85,62679,65425,3188,716,65236,66,15687,12005,55267,5547
6432,4219,78308,78815,1564,970,80550,3489,21843,15783,94268,39662
6436,59,72050,72581,-194,-1352,73835,54,16198,11185,56450,21846
6437,287,99861,99020,-599,-687,102281,257,28090,22518,97553,58487
6438,332,67862,69239,142,144,71728,259,17841,12974,71627,19062
6440,229,68032,68400,-1408,45,70109,179,17594,12970,61652,18790
6442,1282,89142,92849,170,540,91301,1060,26970,21155,101815,45265
6443,350,58932,64222,638,229,60861,262,15543,10127,80449,29573
6445,129,63514,31240,8252,5082,89773,85,24454,14273,197269,85278
6446,106,69473,49564,1541,295,84723,84,19905,13561,165727,67358
6447,93,89247,54492,41647,5771,108543,68,33772,21213,377437,44953
6448,214,62902,57953,817,146,70376,156,19681,11637,118797,35674
6450,8370,71723,64288,3866,1503,77067,6408,21371,12877,163467,58144
6460,422,62917,58381,5064,998,68260,314,17529,11635,148514,59636
6461,369,71048,49558,7705,3241,77769,278,20818,14977,176225,59706
6466,57,62273,45527,729,729,69017,38,19973,17938,176256,63911
6468,192,82978,53848,4384,4350,100071,145,29482,15560,151848,44927
6472,141,65016,44737,3127,1287,77250,97,19526,11623,123175,39560
6475,217,64022,52520,4687,1909,69713,154,19689,12607,154829,67868
6477,142,67270,52476,4230,2314,73487,103,19984,15868,177585,76245
6479,368,69321,59335,3155,1148,82449,255,22208,14486,127170,52942
6485,279,68550,57928,2343,354,75673,203,21970,15643,144285,58505
6488,106,66930,49454,13630,2760,72096,82,18594,11845,110843,60246
6490,124,51834,56569,2008,482,54825,87,16014,10510,91411,36267
6501,649,69014,72896,514,-539,71780,496,19398,14149,148038,71857
6502,819,62433,68560,1950,677,65904,581,19044,11249,149830,68595
6503,1465,63590,64699,2233,1234,67248,1070,19074,10950,127432,51581
6504,82,61329,75472,125,-1502,64151,61,17721,9776,160590,35685
6505,96,55636,49550,4831,-844,67503,59,16904,13922,118690,55471
6506,52,60421,57572,2948,3642,67396,39,15047,12023,124463,74532
6507,384,69295,61747,3176,1609,74177,287,20858,12679,191586,67635
6509,91,67618,59027,11332,5650,75685,71,19290,10524,189492,63321
6510,1193,66534,61446,2527,1271,72844,928,18060,11752,134092,49373
6511,319,59746,54656,4034,2235,62796,220,16987,10207,159741,76064
6512,72,58501,59960,8037,3574,64665,53,16234,6618,177086,60079
6513,109,57239,53146,12351,4976,63182,84,16127,11099,241496,72997
6514,363,59989,62041,3811,1101,62740,254,17665,13010,201034,83704
6515,224,75675,59799,10879,3883,83545,177,21854,14684,213744,71341
6516,1368,65948,64037,3783,1520,68834,951,20593,11193,177745,74965
6517,268,60408,57846,705,760,70088,195,16779,11624,227415,60701
6518,141,57200,57974,503,218,63219,99,16784,10488,140316,64515
6519,314,58854,59595,-335,190,63635,217,17513,11690,124564,45176
6521,268,62439,59373,5275,4473,68586,194,19303,11300,212804,44275
6522,318,75061,56805,1721,379,83873,235,24758,14335,210663,48505
6525,2135,70562,67612,3239,1131,73251,1516,23450,13925,197988,81166
6528,282,73287,64625,5864,1411,81399,190,28927,11267,148492,58329
6530,20336,68551,67004,1097,104,71327,15801,19255,12517,140009,57604
6532,3852,73120,73259,1144,-94,76623,2998,21520,15273,135483,70872
6535,835,61377,58692,881,126,67557,566,18761,11714,157203,64494
6536,877,62856,57793,5517,1891,65705,631,18479,10380,148873,64066
6537,551,60414,58405,3818,1226,62510,415,15506,9311,105484,40264
6556,1339,73330,75818,-55,-52,75969,1045,21747,13935,139640,77907
6558,541,79290,68194,2611,527,81810,406,27921,12273,131863,66701
6560,802,63079,70085,-238,-564,65177,615,17024,12880,96399,58606
6562,830,67276,73260,2314,473,69392,636,18999,14295,132929,70480
6564,213,67703,77174,1694,1506,71229,161,19259,13314,148981,73309
6566,2182,65968,69616,2917,1211,69739,1574,19946,12916,153810,74883
6567,186,58003,67219,986,796,60416,133,16742,10241,136851,61485
6568,140,70072,55249,11877,2608,74577,104,20744,12630,137780,47753
6569,193,86473,56239,3289,2341,95499,142,30490,12398,128208,57734
6571,65,117400,60511,148,1734,123693,55,42659,17888,145771,46724
6574,59,74823,73975,6192,5134,82915,49,20191,15140,129389,62756
6575,103,69214,47645,4198,3084,78254,76,20237,15309,229758,96169
6603,682,66470,61850,1897,954,71004,515,18653,13498,142108,57429
6606,134,62473,41188,3438,1963,68962,91,22142,14161,121235,65841
6608,74,91084,57116,4188,4249,95502,62,25635,14087,94831,31549
6609,619,79132,66553,10662,2686,85401,504,22806,14731,127606,37639
6612,122,69411,49787,6229,3914,79642,90,20736,9889,230189,73450
6620,191,60949,56976,-33,-802,65244,146,17462,14278,128546,62725
6623,326,70341,56751,-127,-764,81241,241,21743,12116,158191,50794
6630,299,63652,54362,4458,1780,74299,231,16563,10826,123282,39327
6635,89,56891,48751,414,-140,62247,59,16124,10243,90559,27831
6638,245,65076,61458,3867,3222,68267,184,17331,10945,68461,18398
6639,51,93177,68087,2195,3570,102121,36,34383,14094,141718,94410
6640,99,47484,57275,329,2773,49369,59,12843,8962,80742,29832
6642,437,62670,58594,1370,-23,65147,320,16069,10643,67425,14865
6646,130,53532,55759,-2744,645,57223,100,14197,6781,40801,5865
6701,2954,63406,59599,2393,1508,66315,2298,16182,10172,108647,37997
6705,52,72221,71089,-2127,-1254,74018,46,16849,14330,112421,60449
6707,2154,72803,64269,4967,2857,75829,1775,19473,9784,117840,49560
6710,499,94557,92628,-457,-871,96882,433,27556,19765,112747,57219
6713,767,113254,108262,790,450,116567,683,35755,24462,207541,116910
6714,10431,102257,100714,-550,-387,105206,9049,31478,23076,128841,66457
6716,353,113676,119233,-1670,-956,116676,293,38080,40924,161864,106480
6718,287,54653,54284,-2045,-1446,55754,194,15134,10363,57628,13664
6720,1311,101149,100578,-1250,-1039,103532,1113,31518,29085,138434,79902
6721,2749,120388,110226,774,12,124159,2438,39139,28406,141100,74543
6722,6477,95715,95504,-607,-638,98619,5513,28953,22301,97728,43595
6725,7498,72612,70360,2310,912,75185,6165,19313,13682,108476,48935
6726,2637,72968,70104,3232,1162,75676,2170,19843,12992,114772,41451
6728,2099,63427,62732,665,-39,65520,1602,16188,12438,77588,23282
6740,486,57419,57194,892,845,58552,350,14175,8483,67418,12521
6743,3716,70568,65116,4189,2202,73094,3047,17896,12234,104620,38731
6751,1734,101523,101873,205,-283,104275,1483,31305,29875,135858,72520
6753,2739,97364,94976,-419,-511,99806,2380,28985,22932,110591,42098
6754,797,109890,109940,-1939,-718,112407,689,34602,35552,141547,82509
6760,116,63293,62541,2138,2051,65015,84,17216,12604,70297,18786
6765,980,53392,50082,3776,3045,54754,663,13697,7341,39307,5056
6770,927,52106,49875,924,1233,53544,617,12940,9024,44773,6010
6798,838,83949,83024,3123,1408,87312,716,22334,19375,172225,104971
6799,274,62229,58680,2258,238,64475,227,13520,8741,117975,57254
7000,10441,72388,65097,7101,4282,75623,8019,21975,11777,182660,50910
7004,5313,78988,66489,7109,4600,82683,4035,26466,11689,255386,68032
7005,9634,90459,68916,7606,4906,94197,6840,36299,12066,319490,56913
7007,2190,86815,70768,4706,3124,92440,1642,31400,13844,236838,96659
7008,8595,67520,66094,6284,3601,70279,6758,18527,11654,172029,68836
7009,8601,54031,54651,5802,3884,55899,6676,12003,8506,97386,32126
7010,10727,51212,52292,4321,2506,53059,8165,10970,7743,92379,29910
7011,9076,53604,54851,3866,2082,55581,6998,11834,8743,105524,45544
7012,547,59971,62168,6920,3672,62430,434,14544,11017,139439,83287
7015,6976,64359,65581,5038,3078,66800,5235,17923,11242,190521,92900
7016,1378,48752,50094,1565,1404,50348,1070,9451,7120,70943,34438
7017,3998,62595,62537,4059,2582,65300,3208,15392,10877,154442,85423
7018,14430,64550,63726,5098,2926,67054,11125,17425,11101,180309,79618
7019,4415,53040,54152,2217,1522,54914,3442,11330,8723,78322,35245
7020,1768,67020,65152,5202,3330,70209,1399,17948,12670,201948,113524
7021,1635,67170,64122,6045,2698,70273,1263,18561,12815,205561,101635
7022,592,57385,58162,6046,3847,60158,445,14633,10354,168467,93571
7023,236,63676,56207,9148,3852,66579,171,18162,13862,200418,106806
7024,368,76566,69567,3420,2335,80856,300,21748,13518,249600,127051
7025,1208,62344,63024,4873,3665,65407,891,17489,11046,193802,96538
7026,658,55325,58034,4304,2741,59115,502,13486,9075,120997,59419
7027,168,49552,50629,4173,3190,51433,110,13506,8434,91437,57081
7030,10577,53540,53734,3439,2032,55878,8151,11946,8346,101102,44412
7050,9002,59981,61057,4666,3338,62428,6710,15944,10401,149388,60173
7052,4904,66387,65595,5290,3403,69276,3710,19016,11845,195699,93140
7053,2307,76385,72349,7346,4581,79879,1686,25416,14925,254128,126827
7054,5840,86718,63177,4840,2914,89525,4479,31043,11920,172349,89376
7055,331,59156,59567,5823,646,61177,266,13743,10194,119887,66639
7109,5859,54847,56713,5935,3360,57660,4243,14173,9374,136945,61985
7112,1890,50468,50873,5636,3107,52807,1244,13990,7286,142014,54146
7113,717,50867,55778,5894,5231,52852,468,14249,9532,156611,63761
7116,1337,48694,52927,5413,3303,51006,910,13631,8288,133738,59949
7117,535,50609,53345,4315,2039,53013,374,12854,8285,147772,58312
7120,1010,49904,48242,5401,3393,53223,700,12446,7365,111307,53016
7140,6582,51698,53786,3949,2218,53895,4927,11773,8442,108567,51196
7150,1947,57984,57756,6761,5039,60674,1353,16628,10402,172042,76638
7155,597,65412,68399,6747,3535,68215,397,20627,11175,221671,113597
7162,437,60422,57113,5361,4228,64463,279,20830,9386,220501,104620
7163,231,54013,58098,8079,4898,55492,142,17882,8954,222850,92035
7170,3801,74595,70691,5001,3076,77962,3006,21943,13834,228434,123037
7171,2280,58046,59122,4715,2561,60113,1824,13058,9896,120219,64376
7172,2616,55062,56853,3727,2476,57608,2012,12659,9141,122624,54305
7173,4459,56200,57086,4935,2523,58482,3418,13394,9332,129517,66510
7174,116,55003,58613,2324,2289,57240,76,16620,9800,138474,62224
7175,149,56683,50791,5430,4106,61032,100,18004,6314,175846,47105
7176,108,49025,50750,3130,3622,51276,76,11558,6678,99252,52846
7177,278,48817,48992,5261,3656,52079,193,11857,7314,128629,52171
7178,175,66680,49376,7222,4217,69254,106,29021,8294,127037,57765
7179,240,48822,50606,5488,4351,51428,155,13248,8873,180547,97321
7180,89,50564,52401,8327,3834,52093,57,15490,7676,109934,50305
7182,138,44036,44863,4580,2521,44959,88,10057,7451,121744,56097
7184,454,48471,46490,5340,3673,50278,295,12710,5298,140192,51960
7185,77,48569,45068,7590,6106,54218,45,13065,9012,230218,95075
7186,91,35928,46842,1304,674,39949,51,9071,4797,148286,70061
7187,74,48708,40733,9706,8387,52113,48,12771,4504,140467,75506
7190,1938,49915,51271,5454,2937,52966,1295,13198,7497,158292,70052
7209,242,63286,48045,13346,4339,67148,174,19557,7771,126409,56838
7210,558,58969,49306,10570,3156,62927,398,16339,8145,113799,50297
7211,128,49974,51068,5871,6358,53147,90,13580,8191,207840,40785
7212,1072,65828,58026,6631,2299,68575,794,20432,9047,194846,84773
7213,166,43659,47642,7077,7406,46992,107,11630,7355,70619,33762
7214,290,42280,47585,3167,2300,43843,182,10361,5754,101502,42350
7215,2311,49716,48129,5008,2738,52096,1533,13242,6541,162235,56494
7216,1911,47799,45119,4774,2818,49854,1214,13066,6220,143816,57277
7248,8975,47442,47907,3999,2165,49221,6600,9916,6527,74685,19692
7249,7926,59441,58094,4089,1800,61674,6304,14093,9260,122150,52701
7250,31475,64362,60457,4377,2661,67172,24327,17535,10113,174377,70951
7252,1916,65589,64506,5053,2289,68443,1440,19135,11049,192376,93674
7253,2447,51779,53092,3280,1829,53623,1724,12905,7899,133210,50653
7254,335,53195,54692,2738,3413,56142,242,13097,8568,131438,63470
7255,519,59136,53694,7516,3879,62117,362,15644,9674,165227,78146
7256,1062,61176,53418,5849,3084,64490,793,15418,8085,173701,68760
7257,52,42671,36634,0,0,43438,36,7870,3154,53898,22315
7258,617,96151,75436,5961,3575,101326,500,33289,15833,328726,130922
7259,309,57329,55546,4539,1875,59911,227,14823,10231,127564,72145
7260,1829,50123,50358,4144,2814,52555,1321,11581,7633,121622,52162
7261,148,50064,46375,3905,4220,54413,100,12512,5781,123816,55979
7262,1094,115514,55147,7421,3226,118705,810,52221,9394,163816,68376
7263,337,46070,45804,5301,3837,52257,228,10750,5211,85268,39559
7264,302,45539,38646,7487,4522,47470,192,11153,5944,109068,36729
7265,136,42612,41834,3584,3315,44587,95,8778,5328,132392,41296
7267,487,61123,59791,1453,1540,63886,363,17187,11469,150405,81675
7268,669,57945,60326,4953,3470,60682,492,15387,10041,134678,78006
7270,2280,52843,52536,5832,3560,55070,1557,14103,8374,147103,61285
7275,2030,54494,57057,3374,2690,57216,1458,14333,9666,169980,79261
7276,354,53277,55690,6270,2201,55225,267,12497,8187,131868,65090
7277,3976,62048,62543,3333,2088,64538,3017,16726,10826,153448,79546
7290,1492,57140,58349,2597,2265,59163,1208,12765,9678,122245,72353
7291,461,61234,59495,3650,2314,63951,358,15827,11477,140722,81165
7292,416,53746,56939,7924,4327,56558,305,13400,8636,177711,72232
7300,2372,58339,58338,3948,2418,60788,1900,13468,9312,138707,70535
7301,2712,56573,55195,5695,3113,59703,2037,14263,8824,147769,58056
7302,1101,54983,52894,5041,3106,57772,836,12686,8719,112054,44591
7303,1700,50672,53774,5553,2804,53370,1192,12777,8812,122702,46533
7304,3634,51683,52775,5279,3559,54791,2467,14111,7977,128577,48771
7305,665,48920,52415,4637,1985,51076,492,10784,7322,90434,46530
7306,2455,49365,54704,4189,2317,51824,1689,12412,7920,127664,63505
7307,6701,59524,59380,4847,2304,62731,5018,16005,9469,158371,73772
7310,16364,55848,55913,3512,1918,58237,12237,13953,8775,129721,55351
7315,8685,55980,57143,4727,2640,58525,6456,14123,9159,145110,69865
7316,3799,59468,60618,3883,2020,62121,2790,16269,10607,154731,75038
7320,9779,59680,59319,3604,1777,61961,7368,15745,9611,132853,52002
7321,2723,57130,60492,4449,3068,60815,1972,15759,9530,135947,63760
7322,2122,58506,60489,3745,2058,60820,1643,14355,9544,139624,70896
7325,4787,57283,59556,3573,2380,60030,3513,15196,9936,150714,71669
7330,3929,55132,52501,3832,1975,57818,2974,13096,8543,114192,48241
7331,392,59396,56275,4335,2957,64121,288,16080,11599,160695,79259
7467,883,58984,60333,625,-67,61168,639,16123,9490,109615,49061
7468,414,61415,61705,2189,1727,64425,330,15072,10471,129037,65275
7469,390,63289,65879,4619,3170,65011,285,17016,12603,100945,53214
7470,338,67937,72752,5207,2303,69634,242,21075,13971,132318,48771
